Sample,Proust,GraphST,SpaGCN,STAGATE,BayesSpace,kmeans
151507,0.5783,0.4313,0.4482,0.5131,0.3244,0.3052
151508,0.5239,0.4869,0.3609,0.5054,0.3878,0.2976
151509,0.5589,0.5237,0.4513,0.3194,0.3629,0.2977
151510,0.5484,0.5184,0.4337,0.4671,0.4901,0.2732
151669,0.5925,0.5925,0.3113,0.2377,0.2161,0.1374
151670,0.5581,0.5244,0.3652,0.4587,0.2047,0.1553
151671,0.6183,0.6076,0.5479,0.5872,0.397,0.245
151672,0.7795,0.6349,0.5765,0.5968,0.4327,0.2636
151673,0.6361,0.6346,0.5152,0.5943,0.4898,0.2642
151674,0.6162,0.5367,0.3925,0.3684,0.3286,0.3079
151675,0.6287,0.6066,0.279,0.6116,0.3786,0.1944
151676,0.6288,0.4311,0.3142,0.4369,0.356,0.1807